Product,Category,Price,Individual Review,Location,Date,Review,Helpful
Dr. Beckmann Carpet Stain Remover | Removes new and dried-in stains | includes applicator brush (650 ml),Auto,0,5.0,United Kingdom,2020-01-13,I have used this product for a year or two and I have to say it is brilliant for attacking stains on carpets,10
Bosch Headlight Bulb,Auto,0,4.0,United Kingdom,2020-04-17,"Bought these after buying so called brighter light bulbs for my V70. What you don't realise is that when you buy brighter bulbs the life is much shorter. As my car runs with dipped beam all the time, the benefit of the brighter bulb is only of any use in winter when its dark, so went for the Bosch ones. They are actually brother than the Philips ones that were on the car. At the price you cannot complain. If you have poor lights, more likely to be poor reflector lenses, so don't get fooled unless you drive at night all the time. 2 bulbs for half the price of one premium?? Will see how long they last but very little difference in light output, worth thinking about.",6
Dr. Beckmann Carpet Stain Remover | Removes new and dried-in stains | includes applicator brush (650 ml),Auto,0,5.0,United Kingdom,2020-05-30,"Was so terrified cos I spilled an unbelievably massive tea stain on my parents’ new carpet (like I couldn’t believe that much liquid came out of one mug) and tried all sorts to get it out. Then boom Dr Beckman arrives super swiftly and saves the day. Really enjoyed using the spongey spiked head attachment, almost considered pouring more tea on the carpet so I could have another go.",86
Amazon Basics Microfibre Cleaning Cloths Pack of X,Auto,0,5.0,United Kingdom,2020-06-14,"I often pick up Amazon branded products for household and DIY jobs, the quality is normally reliable and value is comparable if not better than high street competitors. Dishcloths and Microfibre cloths seem to be missing the washing machine in my house at the moment and heading straight for the bin so i picked up a 12 pack a week ago.

The Good

* I am a fan of three colours, one colour is a little boring, more than five or six colours then your Kitchen and your drawers can look like old deckchairs. Three colours is just enough variety!

* First impressions of Softness are good, ive used a couple to help wash the car, no issues with scratches, i did run them through cold water first to make sure they didnt leave bits on the car paintwork.

* Absorbency around the kitchen is very good, spills and wiping worktops they do a fine job. I am certainly not looking for kitchen towel or an additional cloth to finish jobs.

* Half of the pack of 12 or so have now been through a machine wash - i know people do say hand wash, i just dont have the patience and at this price point am ok if they do get a little thread worn in the washing machine. However thus far they have been through a cycle and come out just fine, ready for the next job.

The Could be better

* A minor point to note but i did expect them to be a little thicker, that said they still offer decent softness and absorbency so not a big issue.

A good sized pack at a decent price point, absorbency is good, softness too, they wash out great and the colours are a pleasant respite from having a bottom drawer that looks like it could be a Pyjama drawer!

Recommended

Four Stars.",5
Amazon Basics Microfibre Cleaning Cloths Pack of X,Auto,0,4.0,United Kingdom,2020-05-30,"Summary: Excellent Quality, a bit pricey.

Pros:
- Extremely good quality fabric with no fluff when wiping.
- Retain size and quality after wash at 60c.

Cons:
- A bit pricey compared to other brands with similar level of quality. Would have expected a cheaper price given the Amazon Basic brand.",0
Amazon Basics Microfibre Cleaning Cloths Pack of X,Auto,0,5.0,United Kingdom,2020-03-29,"Used for, and does a good job on most of my home surfaces, and having decent size packs I can always have clean dry ones available.  Slightly thinner than some brands I have had, but that  doesn't appear to affect efficacy - though I haven't really had them long enough to comment on durability.",0
Dr. Beckmann Carpet Stain Remover | Removes new and dried-in stains | includes applicator brush (650 ml),Auto,0,5.0,United Kingdom,2020-05-13,"I have very light coloured carpets throughout my flat (seemed like a good idea at the time) and have subsequently tried various different carpet cleaners. This blows the others out of the water. I feel the brush makes a huge difference as it means you can agitate the stain.

I’ve successfully got rid of tea, fruit juice, blood (don’t ask) and mud from my carpets using this. I now keep two under my sink at all times just in case!

Please let me know if you found this review helpful by clicking the button below. Thank you.",7
Lanpad 2 Pack Faraday Pouch for car keys,Auto,0,1.0,United Kingdom,2020-02-14,"It worked to start with but didn't last long, I started being able to open the car sometimes with the key still in the faraday bag. Now I can open it and start it all the time with the key in the bag. I only have the one key inside and no metal to damage the material and there is no visible damage but it hasn't lasted. I started using the spare bag which again worked to begin with but after 2 weeks that one is now letting me open and start the car without getting the key out of the bag. It's a shame as they are very nice looking faraday bags and I really like the keyring and chain and the clip on the back of the pouch, but I am going to have to buy a better quality bag.",9
Lanpad 2 Pack Faraday Pouch for car keys,Auto,0,1.0,United Kingdom,2020-06-16,"WARNING... if you ever bought these, test them ASAP! Very disappointed. They were purchased for my son and he straightaway tried  them to ensure they did as they should by blocking the fob signal to the vehicle. All good, and son was pleased with the practical style with the clip and fob..... Or he was for about a fortnight..... Now they are completely useless, he may as well just carry the key in his pocket. Obviously they are of very poor quality for the lining to have failed already. I would advise others who have bought these to test their effectiveness regularly once they are over two weeks old. They are totally unfit for purpose, but not worth the hassle of returning in the current circumstances.",12
Lanpad 2 Pack Faraday Pouch for car keys,Auto,0,1.0,United Kingdom,2020-01-08,They worked fine when I first got them mid August 2019. I have 2 and now they don’t block the signal at all. My son bought 2 on my recommendation and his have stop blocking the signal as well.,18
