Product,Category,Price,Individual Review,Location,Date,Review,Helpful
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,Canada,2020-06-26,Mes fils adorent. Très bonne qualité et fonctionne très bien.,0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,Canada,2020-01-17,This was suggested as STEM gift for a 5-year old but the family of a 4-year old who enjoyed it immensely. It was well received and the kid's younger siblings loved watching and helping put it together.,0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,Canada,2020-01-02,Enjoyed by 7 year old,0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,Canada,2020-05-13,Gave this as a gift to a very bright 7 year old and he absolutely loved it! Got through all the set ups quickly but got a lot of enjoyment out of it,0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,3.0,United States,2020-05-11,"My daughter Loved this!! She is 4.5 and I am using it to explain what electricity is, how is works, and what it is used for. Its a great and engageing way to explain electronics in a basic, hands on way.

A few things to mention here:

The instructions are exactly that... instructions. They show what to do, much like a Lego booklet. For $30, It would have been nice to have some kind of explanation of what exactly each lesson or project is expressing. Because I am able to explain it to her, its not that big of a deal to me, but explanations should be given since this is a teaching aid! Especially for users who are completely new and interested in electronics. Be informed... this is not an explanatory teaching aid, some knowledge or guidance is required for the user to know what the project is having them build.

The battery cover... irritating. There is no reason why the cover could not have been implemented in some form other than near micro screws. Overkill or lacking in design. For the price, a cheap micro screwdriver could have been thrown in.

On a positive note, I found this set to be engaging, and fun to use. My daughter especially like the lights on the motor, and was able to explain back to me how the circuit worked.",3
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,United States,2020-01-30,"I got this for my nephew for Christmas and it was his favorite gift! He absolutely loved it and after we built a few circuits together, he did them all on his own (age 6 btw). The instructions are very clear and it's quite durable. The instructions direct one not to short the terminals on the battery pack as it will cause the on-board fuse to blow. My nephew did this a few times inadvertently but the fuse never blew, so that was reassuring. I suggest that the manufacturer install a breaker switch or a fuse that can be easily replaced if it does blow (the current fuse is a hard solder through-hole part that can't be easily accessed).

I didn't have any issues with the components not working out of the box. I checked every component with a DMM and they all checked out.

This kit doesn't go into any circuit theory (a little bit would be nice) but it is definitely an attention grabber and fun as heck for the kids. I will be buying the next model up for my nephew!",1
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,United States,2020-05-03,"I had this kit sent directly to my son for his almost-7-year-old son. I also sent a larger kit for his 10-year-old son. They opened the kits soon after delivery.  My son just called to tell me that both kits are a huge hit. The boys immediately dived into the projects and have already done several. My son has enjoyed building a few projects, too! Thank you, Elenco, for making these educational yet entertaining kits available, especially when kids and their parents are staying home most of the time during the COVID-19 pandemic. I'm sure we'll be ordering more of them. (One downside: One of the two battery kits in the larger kit won't work. I've seen rave reviews about Elenco's excellent customer service, so we'll be requesting a replacement so the 10-year-old can build what he's most excited about -- an FM radio.)",2
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,United States,2020-04-18,I got this for my 6 year old boy for Christmas at the recommendation of a friend.  This is a great toy that promotes hands on learning about science.  My son loves playing with it and tries to rework the pieces to make his own circuits.  The company also has great customer service.  The spinning fan stopped working after a few months and that was his favorite piece.  I went to the company's website and they will send you replacement pieces for free (took about a week or so).  I am planning on getting the larger versions of this as he gets older.,0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,United States,2020-01-08,"I was somewhat skeptical about buying this for a five year old but I figured I would give it a shot.  It turned out to be a great gift for my five year old grandson, and his sister at three was able to do some basic stuff with supervision (her choice - I did not push this on her).  After two sessions with me, they were able to go through the instructions by themselves.  While we worked on the kit together, I was able to talk some basics to the five year old (!!!) concerning circuits and switches (and one-way LEDS). Almost unbelievable, but the gospel truth.I highly recommend this kit!",1
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,5.0,United States,2019-12-26,"I bought this for my 5 year old son who is a budding engineer and loved all things robotics, electrical, and building. It is a great little kit and depsite the fact that he can't read yet, my 5 year old son worked through all 21 builds almost completely by himself in one day. He literally wouldn't put it down.He still goes back to it too!I bought a ""skills building kit"" to add to it and he loves it too! I think these are awesome and a great value for all the fun and learning included.I will be buying these for gifts for other kids in the future.",0
Snap Circuits Beginner Electronics Discovery Kit (Multi-Color),Electronics,25.99,3.0,United States,2019-12-26,"This is a fine STEM toy. It does have a flaw - the EGG. When you install the egg on the LED (which looked cool BTW), the egg acts like a huge lever on the two tiny wires that connects the diode. Whatever you do to the egg, say pushing it, pulling it, twisting it, etc., even with the lightest touch, will notably bend the wires. I tried to keep my 4 year old from touching the egg as much as I can but still, within one hour the LED is snapped off. This is clearly a design flaw - the base of the LED should have been sandwiched between two plastic pieces, rather than mounted on the top surface.",1
