Product,Category,Price,Individual Review,Location,Date,Review,Helpful
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,1.0,United Kingdom,2019-12-30,"I purchased these for my garage floor (we don't park a car in it, just store stuff). Picture attached after laying the tiles and it looks good. However:

(read UPDATE below before buying)

Pro's:
- Easy to lay
- Comes with nice sticky fixers to hold it down firmly
- Easy to cut

Con's:
- The tiles do not join together anywhere as neatly as my previous tiles did (which I removed to fit these new ones). You can see gaps between the joins, some larger gaps than others
- The tiles are quite thin, in comparison to the tiles I removed they are about 60% of the thickness
- The biggest issue I can see is the durability of the tiles. The 2 attached pictures show the marks caused after 1 night of a very light set of aluminium ladders, and the other picture is from a bike wheel. These indentations have not come out. The picture in the listing shows a set of weights on the tiles, in real life that would leave a dent which would never come out. Again, to compare against the previous tiles I had, the old tiles never marked, these do instantly. Big problem if you are using them anywhere where items may be pressing against them.

In summary, they look 'ok', I will keep them for a year or 2 then replace them with some thicker tiles. Next time I will research more and look at the thickness. Obviously thicker tiles will cost more, but if I'm replacing them after a year I wish I had just spent more to start with.

UPDATE: After 6 months these tiles have warped (see photos). When they warp they never go flat again, and become a trip hazard. Very very poor quality. Avoid these and look elsewhere for tiles, unless you want to replace them after 6 months.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-02-22,"After reading some good and some not so good reviews, I went for this product because of price and ease of laying in my floor space in the attic, that I have turned into a small fitness area and I’m absolutely delighted with the results. I will say take your time in finding the best fit by lining up the the slight pattern and they will fit nice and tight with no gaps like I’ve seen in other reviews. Will also add I never had to use the two side sticky pads on the main sections but only on the sections I cut into smaller pieces. All in all I’m delighted",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-05-12,Above and beyond customer service. They kindly gave me a call to go over my questions and were really helpful.We have used them to go under a 10ft pool and they make the bottom of the pool so much more comfortable. We no longer feel the hard concrete slabs or the joins of the slabs. Work a treat for what we wanted.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,3.0,United Kingdom,2020-05-05,"Arrived quickly and easy to put together. I bought double sided carpet tape to stick mine to the flooring which has helped keep them in place so far. Good thickness and seems fairly sturdy. They have shown signs of denting where my weights are left but so far seems to bounce back fairly well. My only gripe would be they aren't grippy as i was hoping. I do a lot of HIIT workouts, so burpees, mountain climbers, planks etc and my shoes just don't grip AT ALL so i still have to use a workout mat on top so my feet don't just slide away. Disappointing from that perspective but otherwise do the job. If you do lots of those kind of movements may not be the right choice.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-05-03,"Easy to assemble, takes a couple of minutes to put together. I use it on the carpet to jump rope. I bought it for two purposes, one is to reduce the impact on the wood below the carpet and second is to provide a flat surface as my carpet has a lot of threads. I dont hear the wood breaking sound anymore. It can be a bit slippery but doesn't move much on the carpet. Material is OK, not great but does the job. Just need to wait and see its durability in long run.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-02-01,"I am using these on the kitchen floor of our flat because the floor gets icy cold in the winter. These instantly warm it up and help insulate the floor too. A good cheap solution. Also great for my toddler as when they fall, it's a softer landing! Only gripe is that there is not enough edge options. They only work if you lay them out in a square or rectangular way.  Pretty sure I can cut these down and get them to perfectly fit my kitchen. Wish they came in a thinner size so i could use them in my bathroom. Be warned though: if they get wet and are not dried underneath, you have a chance for the whole tile to slip.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-05-04,"With these simple jigsaw-like tiles I converted my extremely rough and uneven floor of the garage in to reasonably soft and warm work out place. It is soft enough to feel comfortable when you lay down on the floor and do any kind of exercises, but you are not sinking when you walk or doing push-ups on it, so it is perfect balance. Obviously on the rough terrain like I have you cannot get perfect match between tiles, but it is really good in places where the floor is even. As you can see on the pictures, I got two different colours, they are of the same shape so you can easily mix and match. I started with yellow for the workout area, then bought some more for the walk-through area and most likely will buy more to protect bottom of Intex pool and make it cleaner around so no dirt and grass go inside.To summarize, it is great versatile product which can be used in many different areas.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,3.0,United Kingdom,2020-02-01,"It’s an OK product but there are a number of design flaws in my opinion.

The pattern doesn’t match up to the tiles so you see where the tiles are joining up.

Some tiles don’t join up correctly so there are some uneven bits where the tiles join.

Finally make sure you don’t go off the sellers description to order what you need.

I had to order 2 additional packs as the maths just didn’t add up for the room.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-01-06,"So easy to fit together and very hard wearing.
We got these to make a stream/river in the garden for the kids in summer.
The tiles have very good weather resistance and we still have a river in our garden.
The blue colour we got is very vivid and has not discoloured out in the sun.
If you have tricky areas to fit these they are very easy to cut and shape with quality scissors or Stanley knife if you are careful.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-27,"I ordered these exercise mats, to be able to workout outside, they are great value for money, clip together really quickly and easy to clean.They're very comfortable and excellent for all types of workouts, they also seem very durable  time will tell.I ordered 6 mats, these can accommodate me lying down and turning and I'm 6ft tall.They arrived earlier than expected, in great condition and I'd definitely recommend and order again.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,2.0,United Kingdom,2020-05-07,As you can see by the photos quite dented from just a 17kg weight placed overnight. I've had to put other matting underneath. They're a bit thin and not ideal for heavy weights. OK as yoga mats. They've been ever cleaned or finished with something similar to furniturw polish also. They're very slippy underfoot and it carries across  onto other flooring making that slippy too.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,2.0,United Kingdom,2020-05-03,"Disappointed really as the description is a bit deceptive.  Says 16 square feet wich I stupidly assumed was massive but it turns out its not even 2meter squared so I could of bought cheaper elsewhere.. so annoyed with myself , quite expensive for what you actually get unfortunately",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,3.0,United Kingdom,2020-05-11,"These looked OK on spec, but in reality they cannot handle any weight at all otherwise they compressNot saying they aren't OK for a basic mat, but I have 3 layers under 67kg on a bar and they compressed to nothing in minutesThe 22kg bar has also compressed a single layer.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-04-14,"The foam mats are a perfect, easy solution for gym flooring. I have small studio and used these mats to cover the entire floor. Really easy to lay out and my room isn't a perfect rectangle and they are very easy to cut to size. They offer a comfortable service to lie on but also firm enough for resistance exercise. I have also been very kindly sent additional sticky tabs to secure the flooring as I have recently added a rowing machine to my studio and stupidly got rid of the ones that came with the original order. They did this for me free of charge and sent immediately. I had a nice chat with the sales person (who's name sadly I didn't take not of). In a time when social distancing is in place and limited contact with the outside world friendly customer service and a kind gesture is greatly appreciated!",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,2.0,United Kingdom,2020-05-11,"I will start on a positive note, fantastic service. Received within one day of order absolutely amazing. Now onto the not so good. These tiles are rubbish absolutely no durability at all.first day using my weights and my dumbbell went thru the mat.they look good but give it a couple of months and they will be in bits. Now onto my biggest issue. I contacted the supplier to ask why I have paid double the price as I never realised there was a bar that I could buy in bulk I needed 24 so ordered 4x6 tiles which plus vat was over £119 if I was to buy them in bulk it would of been £56 . Still never received an email back or any kind of refund. Please avoid",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-03-31,"Sturdier than I expected. I've put this down in a section of my garage that I'm using as a gym... My first concern was that the parts would separate when doing cardio which hadn't happened, and also it has not been dented by throeing an Olympic bar around on it. Don't get me wrong, I'm sure it won't last forever being used as heavily as it is but I'm pleasantly surprised.",0
