Product,Category,Price,Individual Review,Location,Date,Review,Helpful
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,5.0,United Kingdom,2020-07-26,I used to order the different coloured brushes in separate packs but I have found it much more practical to order the individual pack of assorted brushes.  There is a size for every gap in your teeth which ensures proper cleaning.  This is a very good quality product.,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,5.0,United Kingdom,2020-01-02,Fine it you have different size gaps between your teeth. Cheaper to buy a big pack of one or two different sizes if you are not going to use all of the different sizes.,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,5.0,United Kingdom,2020-05-18,Very happy,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,4.0,United Kingdom,2020-01-23,Work quite well but after a couple of use they tend to shape,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,4.0,United Kingdom,2020-03-22,Good,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,5.0,United Kingdom,2020-06-15,Bought on dentists recommendation,0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,3.0,United Kingdom,2020-03-25,"Do the job properly but only for a couple of times for smaller brushes, The wire bends far too easily",0
"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",Health Care,nan,5.0,United Kingdom,2020-04-01,Handy little tooth brushes,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-05-02,"Im finally organised! Wish I’d got this 6 weeks ago....

Working from home during Lockdown (office on the bed LOL) it’s taken me ages setting up / breaking down my kit everyday, but not anymore!

It only took a few minutes to assemble, without needing any tools. The A4 instruction sheet is in large readable text, using step-by-step notes & photos.

One niggle about the instruction sheet - the bars supporting the table top have 2 retractable buttons holding them in place, not one as shown in the photos & notes!

I set up my Surface Pro laptop, an external hard drive, desk fan, reading light AND I still have space on the table top to use my mouse!

Being right-handed, my laptop is on the left hand side of the table, with the fulcrum point (law of physics) furthest away - so you get “bounce” when typing - not enough to be an issue, but when doing long reports or letters, it might make me move the laptop over to the right side / lessen the distance to the down supports = less bounce!

The surface is sealed / wipe clean (not sure why other reviews mention a papery surface?)

The table top is side-edged with a black plastic shielding which doesn’t sit very ‘proud’ of the surface - maybe 1mm or 2mm - meaning mouse control / typing is still comfortable while resting your arms across the edge.... but the ridge isn’t high enough to stop items sliding off, especially if you‘re using the table top at a slightly tilted angle - perfect for my use, but might be an issue for people wanting the table top to retain items / stop pens rolling off!

Tilting the top to an angle takes a couple of seconds & fixes firmly in place - again perfect for my use (mouse control / typing / reading)

Still can’t believe the value for money on this purchase - sturdy, robust, easy to manoeuvre and a large working area!

Absolutely love it!!",13
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-05-30,Purchased for a member of the family who had a seven weeks stay in hospital and now recovering at home.Excellent purchase which looks similar to the one in the hospital.  Used for meal times and also using for resting books and phone.  The tilting feature has not been used yet so can't comment on that.  Excellent portability and wheels run smoothly from bed to chair.  It also fits nicely around the bed and chair.Perfect size and not to small and not too big.  This is recommended,3
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,4.0,United Kingdom,2020-01-04,"Good product and easy to assemble.
Wipes clean easily, including frame.
Top a but slippy so maybe need a job slip mat (I use a tray on top for Mum incase she spills anything (.
Easy to +/- height for over chair/bed.
Be careful if you have tubes (oxygen piping) etc as they can get caught round legs/height adjusters.
Pleased overall - meal times much easier.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-02-21,I bought this for reading in bed. It's perfect. Easy to assemble and manoeuvre. Feels strong and will hopefully last a lifetime. Looks great. A bargain.,3
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-04-04,A lovely idea. Only just fit over the side of a hospital bed. A little on the small size tray and not very sturdy. I suppose for the price it’s not a bad thing. I did however return it because I felt that it was not sturdy enough.,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-06-09,Purchased this for use as a laptop stand and it's been great. The positioning of the legs makes it easy to slide under the sofa if you are sat there working. Avoids the need to be hunched over the dining room table which has been killing my back!,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-06-15,"I brought this to help with working from home. Really easy to build, great at moving its smooth and plenty of leg room due to be able to move it up and down. I was worried it wouldnt go high enough but definitely does. Making working from home a little easier as I do work at a dining room table but sometimes this hurts my back so sit in my bed sometimes with this desk. Also use it for diamond art, colouring and reading .",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,3.0,United Kingdom,2019-12-14,The table is what was need good height.But one of the wheels was broken on unpacking. I have glued it back on as really need a table. As how I brought it for is getting frail.,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-06-12,Ordered this table for my mum .she had so much clutter by her bed not a lot of room for any thing else. with this going over her bed it's perfect for what she need's it for,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,4.0,United Kingdom,2020-04-15,nice was easy to put together on good side but bad side table to short to go over bed so cant put much on it I just have laptop that lets it down but handy and does what it should,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-05-24,"Bought for my mother in law for her room in the home. Great, she could move it around and pull it across her chair to paint or eat, then across her bed to have a cuppa.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-02-08,"perfect sturdy , my mother loves it. Makes her life so much easier. Was using a tray before. Fantastic value for money, would highly recommend 👍",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,4.0,United Kingdom,2020-05-10,"Overall good, a scratch here and there. Purpose: For using my device on while working from home. Haven't used yet so may need to update review after a few weeks. Price seems ok in term of value for money, but I think I would have felt happier if I'd paid £25 or less.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-04-30,Bought for my elderly mum to be able to have dinner in front of tv.  Perfect for purpose.  Sturdy and adjustable and just what we were looking for.  Great value for money.,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,3.0,United Kingdom,2020-04-26,"Would have given more stars but, one of the four casters came broken into 3 pieces, thankfully I had some super glue to hand and managed to repair it. Will see how long it lasts.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-06-21,"This table is great, I used for my mother to have her meals on as she is bedridden at the moment.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,4.0,United Kingdom,2020-06-11,Nice table but a bit small for my needs.A bit fiddle  to put together,0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-05-25,"Brilliant product, just need my son to use it as a table now instead of just putting stuff on it.",0
"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",Health Care,nan,5.0,United Kingdom,2020-01-23,Very happy with this product dose exactly what I want.,0
