mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__batch_size,param_Model__epochs,param_Model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,
0,3027.447814,63.049185,15.01296,7.648083,20,50,adam,"{'Model__batch_size': 20, 'Model__epochs': 50,...",0.015833,0.016437,0.019686,0.017207,0.014979,0.016828,0.001605,2
1,2738.616238,18.25243,9.333782,0.123211,20,50,sgd,"{'Model__batch_size': 20, 'Model__epochs': 50,...",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
2,7561.165366,1988.995056,11.529417,1.729778,20,100,adam,"{'Model__batch_size': 20, 'Model__epochs': 100...",0.01738,0.010837,0.016469,0.016564,0.015994,0.015449,0.002349,5
3,5324.621817,35.19113,9.255937,0.143706,20,100,sgd,"{'Model__batch_size': 20, 'Model__epochs': 100...",NaN,NaN,-0.000057,NaN,NaN,NaN,NaN,17
4,1475.069366,7.383413,5.616255,0.644619,40,50,adam,"{'Model__batch_size': 40, 'Model__epochs': 50,...",0.017267,0.014205,0.019329,0.018286,0.016825,0.017182,0.001722,1
5,1360.888494,6.171748,6.124391,0.538755,40,50,sgd,"{'Model__batch_size': 40, 'Model__epochs': 50,...",NaN,0.012313,NaN,0.012639,0.014305,NaN,NaN,16
6,8255.756581,6398.756802,5.315254,0.170176,40,100,adam,"{'Model__batch_size': 40, 'Model__epochs': 100...",0.016909,0.013964,0.019595,0.011924,0.010014,0.014481,0.00343,9
7,2800.147782,7.992454,5.70306,0.733097,40,100,sgd,"{'Model__batch_size': 40, 'Model__epochs': 100...",0.004048,NaN,NaN,0.002703,NaN,NaN,NaN,15
8,1032.205235,23.787302,4.346321,0.47848,60,50,adam,"{'Model__batch_size': 60, 'Model__epochs': 50,...",0.017426,0.010994,0.017545,0.017307,0.016675,0.015989,0.002516,4
9,925.460727,12.946176,3.979057,0.273915,60,50,sgd,"{'Model__batch_size': 60, 'Model__epochs': 50,...",0.010867,0.013756,NaN,0.013898,0.013978,NaN,NaN,14
10,2007.422872,14.579569,4.028781,0.20373,60,100,adam,"{'Model__batch_size': 60, 'Model__epochs': 100...",0.005852,0.012288,0.018647,0.01258,0.012855,0.012444,0.004053,10
11,1835.211793,17.140466,4.592158,0.532134,60,100,sgd,"{'Model__batch_size': 60, 'Model__epochs': 100...",NaN,0.005219,0.007913,NaN,NaN,NaN,NaN,19
12,782.599334,12.560965,6.27306,4.850444,80,50,adam,"{'Model__batch_size': 80, 'Model__epochs': 50,...",0.01108,0.015971,0.018437,0.013336,0.017619,0.015289,0.002732,6
13,730.311471,43.77766,3.918074,1.113053,80,50,sgd,"{'Model__batch_size': 80, 'Model__epochs': 50,...",0.01466,0.014117,0.016633,NaN,0.01343,NaN,NaN,13
14,1522.076011,25.37124,3.397732,0.231989,80,100,adam,"{'Model__batch_size': 80, 'Model__epochs': 100...",0.016075,0.012839,0.016179,0.015234,0.012084,0.014482,0.001699,8
15,1426.652842,35.767049,3.872547,0.935663,80,100,sgd,"{'Model__batch_size': 80, 'Model__epochs': 100...",NaN,NaN,0.006724,NaN,0.001619,NaN,NaN,12
16,924.359446,146.326008,3.632515,0.992237,100,50,adam,"{'Model__batch_size': 100, 'Model__epochs': 50...",0.017338,0.014216,0.019309,0.018879,0.01184,0.016317,0.002864,3
17,630.209116,29.776682,3.83652,0.888596,100,50,sgd,"{'Model__batch_size': 100, 'Model__epochs': 50...",0.01432,0.010332,0.017376,NaN,0.013559,NaN,NaN,11
18,1907.167038,260.893983,4.383641,1.129953,100,100,adam,"{'Model__batch_size': 100, 'Model__epochs': 10...",0.014115,0.012791,0.018112,0.013667,0.013749,0.014487,0.001864,7
19,1159.486869,17.851542,2.571964,0.430616,100,100,sgd,"{'Model__batch_size': 100, 'Model__epochs': 10...",0.004623,-0.000136,0.006561,NaN,0.004842,NaN,NaN,20
,,,,,,,,,,,,,,,,
,,,56710.1705,,,,,,,,,,,,,
,,,945.1695083,,,,,,,,,,,,,
