,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,State,Review,Helpful,Date
402,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,better than they were,Ross,4.0,United Kingdom,Verified Purchase,Another thing that is better now than it was when I was a kid.  This is an outstanding idea that makes building the circuits a breeze so you can focus on the learning.One point lost because 1) too much emphasis on noise-producing circuits and 2) the whistle chip is not sensitive enough for work properly in some examples.,3,2020-03-10
403,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Great educational toy,DaveB,4.0,United Kingdom,Verified Purchase,"I had something a bit like this when I was a kid - that was over 50 years ago! The kt I had was made by Philips and was much more fiddly to use as the components were connected into the circuits using tiny spring clips and you needed to use wire strippers. This is much easier to use as the components are mounted on plugs which locate into a board. Bought this for one of my nephews for Christmas. He hasn't actually received it yet, but I'm anticipating most of the family will enjoy building electronic gadgets with it.",3,2019-12-21
405,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Good but I’m hoping it turns to perfect.,R. May,3.0,United Kingdom,Verified Purchase,My son loves this.  We’ve tried a few circuits and he loves seeing the results and understanding how things work.So why only 3 stars??  A couple of the components are faulty (one being a switch that works intermittently).  I haven’t contacted the seller yet but hopefully they’ll replace the faulty parts and I’ll adjust the rating accordingly.  This was purchased at a reduced price during Cyber Monday deals so I don’t particularly want a refund as I’d have to pay much more to replace it so I’m hoping the seller will resolve the issue directly.,11,2019-12-30
406,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Educational and Fun,layla,5.0,United Kingdom,Verified Purchase,"Great set for child interested in electronics. Easy to use, lots of different things to do in it. Each section has the correct symbol on, so can help with more advanced electronics revision as well as for young children.Bought for my 8 year old as a Christmas gift and it's been a hit.Seems safe and sturdy as well, so I can see it being used again and again.",4,2020-02-29
410,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Fantastic for our 9 year old,Mr. A. A. Kenny,5.0,United Kingdom,Verified Purchase,"She's been asking for this for months so we included it at Christmas. Instructions are really clear so even if you don't understand electronics, you'll be able to help them learn. She's really taken to it and is learning well as she goes with a target to upgrade to breadboard to make circuits just like daddy :)",2,2020-01-26
416,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Great Toy and Learning Tool.,Jessica Smith,5.0,United Kingdom,Verified Purchase,"This is a great product. Gets my kids off technology, and learning something useful whilst having fun.The book is good, helps them to understand what they are doing and what they are learning. Brilliant toy.",0,2020-01-04
431,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Good quality,Carol So,5.0,United Kingdom,Verified Purchase,"Brilliant toy, fun and knowledgeable. My son spend hours in it. It's a best present ever.",1,2020-01-01
433,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,A very educational toy,Gran Jan,5.0,United Kingdom,Verified Purchase,This is a present for my grandson bought because he liked the one I bought for his cousin last year.The first one is still being played with and has proved very popular.,0,2019-12-16
438,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Easy to use and plenty to learn,Cookie,5.0,United Kingdom,Verified Purchase,"I am an electronics engineer by trade and bought this for my daughter who absolutely loves it. She’s only young at the moment and uses the simpler projects, but there’s plenty for her to do and learn as she gets older.",0,2020-01-04
447,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Making Learning Fun,Helen Whalin,5.0,United Kingdom,Verified Purchase,I purchased Snap Circuits for my Grandson. He has thoroughly enjoyed making numerous circuits and it has given hours of educational playtime.A great product that makes learning fun.,1,2020-01-01
454,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Like electronic lego,nigel hicken,5.0,United Kingdom,Verified Purchase,My six year old grandson took to it very quickly and enjoyed the challenge of making the circuits come to life!,0,2020-02-12
456,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Nice toy and good value for money.,SHI,5.0,United Kingdom,Verified Purchase,Nice toy for older kids.My 8 and 6 years old boys quite like it. It’s now their favourite of all toys from Santa. The music part could be better though.,0,2019-12-28
457,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Amazing product,Liz Masterson,5.0,United Kingdom,Verified Purchase,Excellent kit for my ten year old son. Really interesting and educational. Kids enjoy it so much and are so amazed that they hardly realise they are learning. Parts are of very high quality and I’ll be sure to buy again from this brand.,0,2020-03-21
461,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,"Excellent, engaging toy!",Linda,5.0,United Kingdom,Verified Purchase,Fantastic quality. Our 8 year old is over the moon with this.,0,2020-02-11
464,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,SPOT ON,ALAN CROSBY,5.0,United Kingdom,Verified Purchase,TEACHING,0,2019-12-27
466,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Fantastic,Sibart,5.0,United Kingdom,Verified Purchase,Fantastic product that keep young and old busy,1,2020-01-01
469,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Excellent educational and enjoyable,Frankii,5.0,United Kingdom,Verified Purchase,Brilliant product.Inspires learning and creativity.,1,2019-12-28
470,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Educational,Amazon Customer,5.0,United Kingdom,Verified Purchase,Excellent way to introduce children to basic electronics,0,2020-02-02
471,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Super Black friday deal on Christmas present.,J S.,5.0,United Kingdom,Verified Purchase,The price was fantastic as I got the 700 series set at for price of the 500 series set. This is a Xmas present for my 6 year old so I will update the review in due course.,0,2019-12-13
473,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Amazing teaching tool for youngsters,L L.,5.0,United Kingdom,Verified Purchase,I purchased this for my 7 year old boy who absolutely loves everything technical. It’s an amazing tool for learning about electronics/electrical circuits.,0,2019-12-10
477,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Great Educational Toy,Amazon Customer,5.0,United Kingdom,Verified Purchase,Great learning toy for children to experiment on their own and with guidance. Very sturdy design with no small/fiddly bits to loose/break.,0,2020-01-04
478,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Great toy,Amazon Customer,5.0,United Kingdom,Verified Purchase,Great toy educational and great fun!,0,2020-01-14
482,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Bought for nephew and he was very pleased,mr sc warren,5.0,United Kingdom,Verified Purchase,No complaints from recipient!,0,2020-02-14
485,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Great brain building toy.,tony thiru (Consignment),5.0,United Kingdom,Verified Purchase,Lovely gift that our boys enjoyed very much,0,2020-01-06
494,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Birthday present,G A Fraser,5.0,United Kingdom,Verified Purchase,Birthday present,0,2020-03-02
495,Snap Circuits PLUS Electronics Exploration Kits | Full Color Project Manual | STEM Educational Toy for Kids 8+ (SC-310),4.7,683,nan,Excellent introduction into electronic circuits,Lainey,5.0,United Kingdom,Verified Purchase,Excellent introduction into electronic circuits. My grandson loved it,0,2020-01-07
496,Teenii STEM Physics Science Lab Basic Circuit Learning Starter Kit Electricity and Magnetism Experiment for Kids School Students Electromagnetism Elementary Electronics,4.6,200,59.99,Not plastic,Elaine rice,5.0,United Kingdom,Verified Purchase,Not plastic,2,2020-02-23
497,Teenii STEM Physics Science Lab Basic Circuit Learning Starter Kit Electricity and Magnetism Experiment for Kids School Students Electromagnetism Elementary Electronics,4.6,200,59.99,Absolutely brilliant awesome kit! kids love it!,S. Judd,5.0,United Kingdom,Verified Purchase,"This is just amazing!  Best educational kit I've come across and really well made and simple and easy to use for teaching younger kids  (I recommend age 8 to 10).It includes nearly everything you need and the 30 page book with it is invaluable and gives ready made lessons and experiments, making life for a home tutor such as myself, really easy.Highly recommended!!",3,2020-02-11
502,Teenii STEM Physics Science Lab Basic Circuit Learning Starter Kit Electricity and Magnetism Experiment for Kids School Students Electromagnetism Elementary Electronics,4.6,200,59.99,An amazing fun and educational kit,Amazon Customer,5.0,United Kingdom,Verified Purchase,"My 10 year old daughter is enjoying learning from this kit. It is fun and interesting and all the tests work as good as described, don’t know who is enjoying it more my daughter or my husband 😂",4,2020-02-07
512,Teenii STEM Physics Science Lab Basic Circuit Learning Starter Kit Electricity and Magnetism Experiment for Kids School Students Electromagnetism Elementary Electronics,4.6,200,59.99,Ok,Amazon Customer,5.0,United Kingdom,Verified Purchase,Ok,1,2020-02-14
530,Teenii STEM Physics Science Lab Basic Circuit Learning Starter Kit Electricity and Magnetism Experiment for Kids School Students Electromagnetism Elementary Electronics,4.6,200,59.99,Don't buy,jackie,1.0,United Kingdom,nan,"I purchased this item as a Christmas Present in mid November, 2 wks to Christmas thought I'd best check the instructions to see what batteries I need, the booklet is not in English, so unless your bilingual I wouldn't buy, and only option given to me by Amazon is return.",0,2019-12-09
598,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Enthusiastically received!,C. Kerr,5.0,United Kingdom,Verified Purchase,"My grandson (aged 7) is not very academic, but thoroughly enjoys the little electronic projects they make at school. He was absolutely delighted with this kit, which contains the bits and pieces to make lots of little electronic gizmos. Stupid Grandma let the side down however by failing to provide any batteries! We robbed something else of its batteries so he could get one of the projects going.As an aside, I opted to have this delivered 'without Amazon packaging'. I understand that this means the contents will be visible, but to my horror, the box arrived with no packaging at all and the address label stuck straight on the box. It took me at least half an hour to carefully, carefully, peel this off and then another half hour gently rubbing the sticky residue off with nail varnish remover to make it look like a present again. The box also arrived quite battered, which I couldn't do anything about. Lesson learned there!",1,2020-01-04
601,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,My son thinks he is a genius,Andi123,5.0,United Kingdom,Verified Purchase,"My son (8) needed help with getting started but now makes circuits and thinks he is a genius. He loves the fan which flies in the air, but only if you connect one way - it reverses the other way and can’t get up speed or direction to lift. He wasn’t interested in using it to start - had at Christmas, but as soon as I sat with him and opened to box he was delighted. Sturdy pieces which use press stud clips. Clear slots to keep pieces in place after use. Includes bulbs, switches etc but you need AA batteries - 6 of them - 3 in each battery pack.",12,2020-03-12
617,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Educational and fun.,K Sheard,4.0,United Kingdom,Verified Purchase,My daughter really is enjoyed using this. She is 8/9 years old.The instructions were easy to follow and there were so many different circuits to build.She is currently studying electricity at school and I thought this would give her a hands on approach to what she was learning.My one and only negative point is the spinning top broke after one use and now does not fly. This is a shame as it was one of my daughters favourite tests.,0,2020-03-21
633,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great learning aid,PatC,5.0,United Kingdom,Verified Purchase,"Bought this for Christmas for my 9 year old granddaughter. We now have a budding electronics expert. Easy to construct various electronic circuits and great learning aid. Contains AND and NAND gates, OR and NOR gates and NOT gate, PNP and NPN transistors to name but a few. Wish this was around 50 years ago when I was at college!",0,2019-12-29
643,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Hot Wires for children,Alipay,4.0,United Kingdom,Verified Purchase,This turned out to be a very welcome present for my eleven year old granddaughter.  She enjoys constructive items and readily understood what was required here.  Pity the contents did not include the wire needed for projects 61 onwards where the microphone has to be 1.5 metres remote.,0,2020-01-20
655,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Arrives faulty. Disappointing and not built to last.,SaraB,1.0,United Kingdom,Verified Purchase,"Bought as a Christmas Present, opening on Boxing Day, got to the 2nd experiment to find the S2 switch is faulty and does not work. Ridiculous. Tried to call the spare parts team at John Adams but they’re away till January! Disappointed child at Cmas with a defective product. Waste of time.",0,2019-12-26
662,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,"Sturdy, easy to make and great fun.",Maria S,5.0,United Kingdom,Verified Purchase,Extremely impressed with the solid construction of each component. Very easy to click together and the whole family are having fun making the different electrical circuits. My 11 year is very proud of the volume controlled FM radio he has constructed and its remade each evening for use at bedtime and the morning.,0,2020-01-08
671,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great kit for kids and adults alike,Miss N K Barrett,5.0,United Kingdom,Verified Purchase,"My 7 year old loves this. We got it for Christmas and he has played with it loads. Even Dad and grandad enjoy helping him. The elements are easy to build as they just snap together. The instructions are easy to follow, they start with easy circuits going up to much harder ones. There are 121 in the book to follow.",0,2019-12-31
680,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,"Hours of fun, worth the money",Dawn Blackwood,5.0,United Kingdom,Verified Purchase,"This is a fantastic game, surpassed my expectations, it's brilliant for making kids understand the importance of following instructions exactly. It's also great for promoting problem solving. My 11yr old loves it and we love doing it with her.",0,2019-12-29
684,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Excellent,Mr Rogers,5.0,United Kingdom,Verified Purchase,"It says this is for 8 years and up. I bought it for a 6 year old and he loves it, and understands it. This is an excellent product. Very well made and informative for kids. Highly recommended",0,2020-01-12
698,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Introduction to electronics,Mrs Lovehampton,5.0,United Kingdom,Verified Purchase,Grandchildren loved it.  My granddaughter (aged 9) played with it exclusively for 2 days.  My son thought it was well put together and probably expensive.  Recommended.,0,2020-01-21
710,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Brilliant!,A. R. Hughes,5.0,United Kingdom,Verified Purchase,"This is fantastic, our 6 year old son hasn't stopped playing with it! The sound and light triggered burglar alarms are a particular hit. Really good build quality and value for money, highly recommended!",0,2019-12-28
714,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great Gift,Jimbo,5.0,United Kingdom,Verified Purchase,"Purchased as a gift for a friends son, he absolutely loves it.  Also he knew all about It which was great. It’s not too complicated, trial and error.  Would recommend for sure.",0,2020-01-28
719,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great gift for kids,Kindle Customer,5.0,United Kingdom,Verified Purchase,My 9 year old son built the lie detector in an hour and we had a blast with this on Xmas day catching people out with their fibs! Highly recommended for kids.,0,2020-02-03
722,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great kit perfect for kids,Jason P.,5.0,United Kingdom,Verified Purchase,"Very impressed, my 8 year old absolutely loved this set. Have a great time using it together and gets him away from his consoles.",0,2019-12-28
