,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Date
5,"Yanlin Adjustable Multi-Function Barbell Rack Stand, Max Load 550lbs,Squat Rack Dipping Station Dip Stand Fitness Barbell Free Bench Press Stands Press Equipment Home & Gym Dip Stands",3.8,25,89.98,It's alright,Jack Trader,3.0,United Kingdom,Colour Name: Classic-A Version,Verified Purchase,"Received this yesterday. Pretty easy to put together although I did use my own tools as another reviewer mentions the supplied wrenches are very basic.

I went for the Classic-A Version with the brace between the two posts. When the posts are extended it is extremely wobbly. I'll probably make some adjustments where I can but basically the inner arm is just way too small for the gap it fits in. However this doesn't stop me from using it as intended, it's a good product but can be improved.

Another issue is when the rack is up against the wall I can't easily fit on my larger weights. Not too much of and issue as they typically stay on the barbell and I can just about fit my 5kgs on the rack without having to move it away from the wall. It would be nice if the design would make the weight holders be on the front instead.

What I do like about this particular one is it does have a very small footprint taking up only about half a metre when it's up against the wall and this was the main selling point for me. If I had the space I would get a full sized one instead. If the arms were more sturdy this would be a 5 star.",2021-10-04
7,"Yanlin Adjustable Multi-Function Barbell Rack Stand, Max Load 550lbs,Squat Rack Dipping Station Dip Stand Fitness Barbell Free Bench Press Stands Press Equipment Home & Gym Dip Stands",3.8,25,89.98,Shakey as anything. Not confident it is safe to use. .,marky,1.0,United Kingdom,Colour Name: Advanced-B Version,Verified Purchase,Arrived quickly and easy assembly with my own spanners. But after assembly it is immediately obvious the top half of the upright pillars is a very loose fit into the bottom half so there is a LOT of left-right and front-back movement. Really not very steady. Don't think it is safe to use. Disappointed.,2021-11-08
14,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Cheap quality - not robust - dent easily - warp,JT,1.0,United Kingdom,Size Name: 40 TILES (160 Square Feet)Colour Name: Grey,Verified Purchase,"I purchased these for my garage floor (we don't park a car in it, just store stuff). Picture attached after laying the tiles and it looks good. However:

(read UPDATE below before buying)

Pro's:
- Easy to lay
- Comes with nice sticky fixers to hold it down firmly
- Easy to cut

Con's:
- The tiles do not join together anywhere as neatly as my previous tiles did (which I removed to fit these new ones). You can see gaps between the joins, some larger gaps than others
- The tiles are quite thin, in comparison to the tiles I removed they are about 60% of the thickness
- The biggest issue I can see is the durability of the tiles. The 2 attached pictures show the marks caused after 1 night of a very light set of aluminium ladders, and the other picture is from a bike wheel. These indentations have not come out. The picture in the listing shows a set of weights on the tiles, in real life that would leave a dent which would never come out. Again, to compare against the previous tiles I had, the old tiles never marked, these do instantly. Big problem if you are using them anywhere where items may be pressing against them.

In summary, they look 'ok', I will keep them for a year or 2 then replace them with some thicker tiles. Next time I will research more and look at the thickness. Obviously thicker tiles will cost more, but if I'm replacing them after a year I wish I had just spent more to start with.

UPDATE: After 6 months these tiles have warped (see photos). When they warp they never go flat again, and become a trip hazard. Very very poor quality. Avoid these and look elsewhere for tiles, unless you want to replace them after 6 months.",2019-12-30
15,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Any more than 4x4 it doesn’t form naturally,Craig morrison,4.0,United Kingdom,Size Name: 10 TILES (40 Square Feet)Colour Name: Black,Verified Purchase,It’s decent enough -  hard wearing and comfortable on feet on a garage floor. I have found problems that if your attaching more than 4x4 mats then they struggle to hold shape as demonstrated in photo. I’ve tried everything and reattaching at different mats.This is the best I’ll have to settle with so slightly disappointed,2019-07-12
16,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Love it 😁,Kat,5.0,United Kingdom,Size Name: 24 TILES (96 Square Feet)Colour Name: Black,Verified Purchase,"As you can see this flooring looks great, it is high quality and great for my home gym, I went for tile flooring so if one did get damaged I could easily replace. So far I have had no issues and I am very pleased with my purchase. Fast delivery I would highly recommend",2019-04-19
17,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Soft but dense,Dec-wrec26,5.0,United Kingdom,Size Name: 10 TILES (40 Square Feet)Colour Name: Blue,Verified Purchase,Wanted them to out a lay-z spa on and perfect for the job,2019-06-09
18,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,"Very easy to install, feel great to step on those in the garage.",Leon V,4.0,United Kingdom,Size Name: 20 TILES (80 Square Feet)Colour Name: Black,Verified Purchase,"This was a piece of cake to put down as a floor for my garage, feet are warm now floor is soft and what falls on it wont crack no more.
Some tiles needed cut to meet the wall, the rubber is good thick and it will cut but get a good knife.
Each tile comes with 2 edges, plenty enough lots of spares to make some good finish.
Two things I classify as bad but they are no problem for the garage.
1. Some tiles are less black than others, maybe check and use the same batch on the same area of the tiles.
2. Sometimes the tile wont snug fit leaving a small tiny gap between the jigsaw puzzle like connection seam. Again might be a batch thing, so check the packs, I found they will post some 4 pack and some 8 pack sets, check them out and match them. What works is a bit of shuffle and it comes together ok.
Having said that, you wont notice those things now, the floor has settled and it looks good, works good, hope it stays good.
So all good.",2020-10-17
19,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Take time piecing together for best fitting,alexander reid,5.0,United Kingdom,Size Name: 24 TILES (96 Square Feet)Colour Name: Black,Verified Purchase,"After reading some good and some not so good reviews, I went for this product because of price and ease of laying in my floor space in the attic, that I have turned into a small fitness area and I’m absolutely delighted with the results. I will say take your time in finding the best fit by lining up the the slight pattern and they will fit nice and tight with no gaps like I’ve seen in other reviews. Will also add I never had to use the two side sticky pads on the main sections but only on the sections I cut into smaller pieces. All in all I’m delighted",2020-02-22
20,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Best Option for home gym,Daniel edwards,5.0,United Kingdom,Size Name: 8 TILES (32 Square Feet)Colour Name: Grey,Verified Purchase,"After looking at lots of options for my home gym this was the most cost effective, functional and had the best design compared to rubber flooring and other foam flooring. As imagined they were easy to assemble and cut to fit, I didn’t bother with the free adhesive stickers and went for some spray on the floor as well as thick tape under over the interlocking sections as a double secured method but these are sturdy tiles and probably didn’t need the overkill. After under ordering I placed a second order and messaged to request the delivery asap, having to change the address. The seller responded straight away and got these out in time, very helpful overall and happy with the finished product in grey.",2019-07-07
21,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Fantastic to use under an above floor swimming pool,Kelly,5.0,United Kingdom,Size Name: 6 TILES (24 Square Feet)Colour Name: Black,Verified Purchase,Above and beyond customer service. They kindly gave me a call to go over my questions and were really helpful.We have used them to go under a 10ft pool and they make the bottom of the pool so much more comfortable. We no longer feel the hard concrete slabs or the joins of the slabs. Work a treat for what we wanted.,2020-05-12
