,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Date
14,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Cheap quality - not robust - dent easily - warp,JT,1.0,United Kingdom,Size Name: 40 TILES (160 Square Feet)Colour Name: Grey,Verified Purchase,"I purchased these for my garage floor (we don't park a car in it, just store stuff). Picture attached after laying the tiles and it looks good. However:

(read UPDATE below before buying)

Pro's:
- Easy to lay
- Comes with nice sticky fixers to hold it down firmly
- Easy to cut

Con's:
- The tiles do not join together anywhere as neatly as my previous tiles did (which I removed to fit these new ones). You can see gaps between the joins, some larger gaps than others
- The tiles are quite thin, in comparison to the tiles I removed they are about 60% of the thickness
- The biggest issue I can see is the durability of the tiles. The 2 attached pictures show the marks caused after 1 night of a very light set of aluminium ladders, and the other picture is from a bike wheel. These indentations have not come out. The picture in the listing shows a set of weights on the tiles, in real life that would leave a dent which would never come out. Again, to compare against the previous tiles I had, the old tiles never marked, these do instantly. Big problem if you are using them anywhere where items may be pressing against them.

In summary, they look 'ok', I will keep them for a year or 2 then replace them with some thicker tiles. Next time I will research more and look at the thickness. Obviously thicker tiles will cost more, but if I'm replacing them after a year I wish I had just spent more to start with.

UPDATE: After 6 months these tiles have warped (see photos). When they warp they never go flat again, and become a trip hazard. Very very poor quality. Avoid these and look elsewhere for tiles, unless you want to replace them after 6 months.",2019-12-30
19,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Take time piecing together for best fitting,alexander reid,5.0,United Kingdom,Size Name: 24 TILES (96 Square Feet)Colour Name: Black,Verified Purchase,"After reading some good and some not so good reviews, I went for this product because of price and ease of laying in my floor space in the attic, that I have turned into a small fitness area and I’m absolutely delighted with the results. I will say take your time in finding the best fit by lining up the the slight pattern and they will fit nice and tight with no gaps like I’ve seen in other reviews. Will also add I never had to use the two side sticky pads on the main sections but only on the sections I cut into smaller pieces. All in all I’m delighted",2020-02-22
43,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good little floor cover.,The Turnip Queen,4.0,United Kingdom,Size Name: 10 TILES (40 Square Feet)Colour Name: Black,Verified Purchase,"I am using these on the kitchen floor of our flat because the floor gets icy cold in the winter. These instantly warm it up and help insulate the floor too. A good cheap solution. Also great for my toddler as when they fall, it's a softer landing! Only gripe is that there is not enough edge options. They only work if you lay them out in a square or rectangular way.  Pretty sure I can cut these down and get them to perfectly fit my kitchen. Wish they came in a thinner size so i could use them in my bathroom. Be warned though: if they get wet and are not dried underneath, you have a chance for the whole tile to slip.",2020-02-01
50,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Reasonable quality. Wouldn’t say it’s great but then not awful either,Faz R.,3.0,United Kingdom,Size Name: 12 TILES (48 Square Feet)Colour Name: Grey,Verified Purchase,"It’s an OK product but there are a number of design flaws in my opinion.

The pattern doesn’t match up to the tiles so you see where the tiles are joining up.

Some tiles don’t join up correctly so there are some uneven bits where the tiles join.

Finally make sure you don’t go off the sellers description to order what you need.

I had to order 2 additional packs as the maths just didn’t add up for the room.",2020-02-01
52,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Very easy to fit and very hard wearing. Great tiles.,M. Smith,5.0,United Kingdom,Size Name: 16 TILES (64 Square Feet)Colour Name: Blue,Verified Purchase,"So easy to fit together and very hard wearing.
We got these to make a stream/river in the garden for the kids in summer.
The tiles have very good weather resistance and we still have a river in our garden.
The blue colour we got is very vivid and has not discoloured out in the sun.
If you have tricky areas to fit these they are very easy to cut and shape with quality scissors or Stanley knife if you are careful.",2020-01-06
78,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Much better than expected,hannah brown,5.0,United Kingdom,Size Name: 12 TILES (48 Square Feet)Colour Name: Beige,Verified Purchase,"Sturdier than I expected. I've put this down in a section of my garage that I'm using as a gym... My first concern was that the parts would separate when doing cardio which hadn't happened, and also it has not been dented by throeing an Olympic bar around on it. Don't get me wrong, I'm sure it won't last forever being used as heavily as it is but I'm pleasantly surprised.",2020-03-31
90,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,From cold garage to functional gym,doubleosleven,5.0,United Kingdom,Size Name: 16 TILES (64 Square Feet)Colour Name: Beige,Verified Purchase,"I wanted to use the garage for something more meaningful than just storage so I decided to convert it into a gym.  I did a bit of research and settled on these tiles.  I am glad I did.  They are childs play to work with, warm, and look quite good, job done!",2019-12-03
91,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Excellent purchase will order again!!,H,5.0,United Kingdom,Size Name: 8 TILES (32 Square Feet)Colour Name: Orange,Verified Purchase,"Brilliant mats.  Had a problem with my order being delayed but the seller re-dispatched the next day and they arrived the day or so after absolutely brilliant, I'm using them as flooring for my rabbits they're perfect.  10/10!!",2020-02-26
146,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Rubber floor tiles.,Nanny,5.0,United Kingdom,Size Name: 36 TILES (144 Square Feet)Colour Name: Black,Verified Purchase,Loved these rubber floor tiles we have layer them on our garage floor it looks really nice and tidy.price is very good to and delivery was within a few days of ordering.Thank you Amazon.,2020-03-28
147,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Probably not suitable for a home gym,jb119,3.0,United Kingdom,nan,Verified Purchase,"Have had these for a few weeks they provide nice coverage for the gym I have in the garage, but I have noticed that the weights are leaving indents, even those weighing 5kg, so not sure over the longer term these will be suitable.",2019-12-25
