,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Helpful,Date
3,"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",4.6,375,nan,worth it,julie middleton,5.0,United Kingdom,,Verified Purchase,Fine it you have different size gaps between your teeth. Cheaper to buy a big pack of one or two different sizes if you are not going to use all of the different sizes.,0,2020-01-02
46,"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",4.6,375,nan,Good mixture,Amazon Customer,4.0,United Kingdom,,Verified Purchase,Work quite well but after a couple of use they tend to shape,0,2020-01-23
49,"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",4.6,375,nan,Good,Amazon Customer,4.0,United Kingdom,,Verified Purchase,Good,0,2020-03-22
59,"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",4.6,375,nan,Wire in brush is too feeble,tonyrallen,3.0,United Kingdom,,Verified Purchase,"Do the job properly but only for a couple of times for smaller brushes, The wire bends far too easily",0,2020-03-25
65,"TePe Oral Health Care, Interdental Brush, Mixed Pack, 8 Pieces",4.6,375,nan,"TePe Oral Health Care, Interdental Brush",Peter Eason,5.0,United Kingdom,,Verified Purchase,Handy little tooth brushes,0,2020-04-01
91,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Good product easily cleans,Val B,4.0,United Kingdom,,Verified Purchase,"Good product and easy to assemble.
Wipes clean easily, including frame.
Top a but slippy so maybe need a job slip mat (I use a tray on top for Mum incase she spills anything (.
Easy to +/- height for over chair/bed.
Be careful if you have tubes (oxygen piping) etc as they can get caught round legs/height adjusters.
Pleased overall - meal times much easier.",0,2020-01-04
109,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Perfect bedroom table.,Michael Hough,5.0,United Kingdom,,Verified Purchase,I bought this for reading in bed. It's perfect. Easy to assemble and manoeuvre. Feels strong and will hopefully last a lifetime. Looks great. A bargain.,3,2020-02-21
123,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Good but was broken on unpacking,Melanie Hall,3.0,United Kingdom,,Verified Purchase,The table is what was need good height.But one of the wheels was broken on unpacking. I have glued it back on as really need a table. As how I brought it for is getting frail.,0,2019-12-14
141,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Fantastic 👌,mrs louise stenhouse,5.0,United Kingdom,,Verified Purchase,"perfect sturdy , my mother loves it. Makes her life so much easier. Was using a tray before. Fantastic value for money, would highly recommend 👍",0,2020-02-08
188,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Good value for money,harry,5.0,United Kingdom,,Verified Purchase,Very happy with this product dose exactly what I want.,0,2020-01-23
200,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Hospital style side table,HairyCheese,5.0,United Kingdom,,Verified Purchase,Nice side table for bed or armchair.,0,2020-01-25
240,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,"Sturdy, well made, adaptable",TonyD,5.0,United Kingdom,,Verified Purchase,This is a nice and sturdy piece of furniture.  Adjustment is easy and intuitive.,0,2020-02-12
249,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Good quality item,lorraine hardy,5.0,United Kingdom,,Verified Purchase,Arrived the same day I ordered it very easy to assemble,0,2020-02-09
260,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Received broken item,Sarah,1.0,United Kingdom,,Verified Purchase,Received this table... Got half way through building it and noticed that one of the legs are broken.,1,2020-03-09
301,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Not the best quality,Ridingstorms,3.0,United Kingdom,,Verified Purchase,Not as strong as I expected.,0,2020-01-05
320,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,So pleased with this table,Kelly A19,5.0,United Kingdom,,Verified Purchase,Perfect for our needs - such good value. Very sturdy!,0,2020-01-10
344,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Excellent,Diane  Smith,5.0,United Kingdom,,Verified Purchase,Easy to assemble it's fantastic highly recommended,0,2020-03-16
356,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Value for money,Ciop,5.0,United Kingdom,,Verified Purchase,"Easy to assemble and use, just make sure the adjustable hand screws are tight and check!",0,2020-03-04
380,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Easy to move,faz,5.0,United Kingdom,,Verified Purchase,A very good product.  Good for people who need it.  Specially for old and people in need,0,2020-01-02
442,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Adjustable table,Ben,5.0,United Kingdom,,Verified Purchase,Great product,0,2020-03-22
624,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,A valued help to disabled,Bidgey,5.0,United Kingdom,,Verified Purchase,"My husband has many problems with walking and general health that restricts him moving around. This table enables him not only to eat he’s food from he’s mobility chair, but reading the paper or doing he’s daily crossword etc He is liable to fall asleep in the middle of reading and the paper would fall on the floor, the table stops this and makes life easier not only for him but as he’s carer me also. Would recommend.",3,2020-02-23
637,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,Bargain,nolly,5.0,United Kingdom,,Verified Purchase,"Essential piece of kit for seven bedridden weeks. Easy to put together and slotted nicely under the bed, then easy to adjust the height for working.",0,2020-02-11
643,"NRS Healthcare M15691 Portable Overbed/Chair Table - Tilting, Adjustable and Wheeled",4.,2547,nan,impressed,B.J. Coulding,5.0,United Kingdom,,Verified Purchase,Just what I  wanted- ideal  for laptop use.,0,2020-02-16
963,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Need a better booklet to say what items are,J L GOSDEN,3.0,United Kingdom,Colour: Blue 2,Verified Purchase,Nice little set but the little booklet doesn't say what half of the items are. I had to Google what certain items are and how to use them.,0,2020-03-08
968,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Two thumbs up!,Jaday,4.0,United Kingdom,Colour: Blue 2,Verified Purchase,Absolutely satisfied with this kit! I love all the items especially the nasal bulb - really came in handy! Highly recommended.,0,2020-01-22
973,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Excellent quality,Camila de Souza,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Fast delivery, excellent quality, all itens received ! I would definitely recommended this care kit.",0,2020-01-27
980,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Would recommend,M.N,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Bought before the baby's been born. Now three months in, I find it quite useful and of good quality for the money. Although, we haven't used everything from the kit.",0,2020-02-28
989,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,"Top one,",G Baral,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Purchased this for baby shower gifts, best quality and good price for purpose.",0,2020-03-26
997,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Good product and fast delivery,Patrycja Iwa,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Good product and fast delivery, value for money",0,2020-03-30
998,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Recommend!,Ioana Gheorghiu,5.0,United Kingdom,Colour: Blue 2,Verified Purchase,I love this! Very helpful! Good quality!,0,2020-02-25
1003,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,I definitely recommend!!!,jesussite,5.0,United Kingdom,Colour: Blue 2,Verified Purchase,Very impressed with the quality and amount of items. Better than the branded ones. I would definitely recommend!,0,2020-03-30
1004,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Lots of accessories good value,Ian W. Dickinson,5.0,United Kingdom,Colour: Blue,Verified Purchase,Gift at a baby shower. Lots of accessories. Could do with an instruction book but found the instructions online,0,2020-01-04
1005,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Great value,Sam Cornelius-Jones,5.0,United Kingdom,Colour: Blue 2,Verified Purchase,Great value for money as lots included. Only really used the nail scissors and nasal aspirator at the moment and they work great.,0,2020-02-12
1008,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Best baby grooming set,Lala2000,4.0,United Kingdom,Colour: Blue,Verified Purchase,Everything needed to keep baby well groomed.,0,2020-02-09
1010,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Brilliant,morag whyte,5.0,United Kingdom,Colour: Blue 2,Verified Purchase,Perfect for taking kids temperature a really good gift,0,2020-03-25
1018,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Usefull gift,Roxanne,5.0,United Kingdom,Colour: Blue,Verified Purchase,Bought it for a new mommy and is very handy for newborns.,0,2020-01-23
1021,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Low battery on thermometer 🌡,Jen,3.0,United Kingdom,Colour: Blue,Verified Purchase,As described. My only issue is the thermometer has a low battery.,0,2020-03-05
1022,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Havet use it yet,Michael todd,5.0,United Kingdom,Colour: Blue,Verified Purchase,Lovely little starter kit,0,2020-01-06
1024,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Brilliant delivery too,Sara Louise Gordon,5.0,United Kingdom,Colour: Blue,Verified Purchase,Fantastic Product!!Contains everything needed for Your Babies Health Care.Brilliant health are kit box.,0,2020-03-02
1025,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,👍🏽,Lisa Baba,5.0,United Kingdom,Colour: Blue,Verified Purchase,Everything I need for my new born,0,2020-02-13
1029,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Thermometer issue,Andyel,3.0,United Kingdom,Colour: Blue 2,Verified Purchase,Contents as described however the thermometer is reading inaccurate so I’m returning it as I bought primarily for the thermometer.,0,2020-03-26
1030,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,good set,Diana,5.0,United Kingdom,Colour: Blue,Verified Purchase,"very good set, you have all essential for the little one.",0,2020-01-29
1031,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,"Dirty, used appliances",Jal,1.0,United Kingdom,Colour: Blue,Verified Purchase,"When this product was delivered the appliances inside of the case were covered in short hairs. Considering this was bought for my newborn son, I am really disgusted and therefore haven't used the product!",0,2019-12-12
1032,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,All in one baby grooming,Sur,5.0,United Kingdom,Colour: Blue,Verified Purchase,Fantastic selection for the price. All you need for a baby grooming.,0,2020-02-03
1037,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Review,Mrs D A Peterken,4.0,United Kingdom,Colour: Blue,Verified Purchase,"I bought it for a friend and had it delivered straight to her so I haven't actually seen it.  However, my friend said it was 'just the job'  so I guess it was all good.",0,2020-03-13
1040,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Great product!,Ana Cristina,5.0,United Kingdom,Colour: Blue,Verified Purchase,Has everything that I need in order to take care of my baby's hygiene!,0,2020-03-05
1041,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,👍🏽👍🏽,sherxxxx,5.0,United Kingdom,Colour: Blue,Verified Purchase,Very good,0,2020-03-12
1043,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,.,amy,5.0,United Kingdom,Colour: Blue,Verified Purchase,Perfect,0,2020-01-01
1051,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,The thermometer was broken,Jolan Tari,1.0,United Kingdom,Colour: Blue,Verified Purchase,The thermometer was broken it😡,0,2020-01-26
1053,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Sent me a used product,LOLITA Nwaigwe,1.0,United Kingdom,Colour: Blue,Verified Purchase,Had to send back as it looked like it had been used before even had hair in the box so disappointed,0,2020-01-01
